product,type,logical_bytes,field_bytes,entries_per_key,keys,operation,connections,qps,p50_ms,p99_ms,p999_ms,requests,elapsed_seconds,seconds,client_cpu_cores,rx_mib_s
redis,list,65536,1024,64,64,LINDEX,1280,904292.75,1.175,4.607,10.623,7250773,9.587640531000943,8,12.787,925.75984375
valkey,list,65536,1024,64,64,LINDEX,1280,907706.78,1.159,4.639,10.559,7269102,9.636552975000086,8,12.61,929.254970703125
lavik,list,65536,1024,64,64,LINDEX,2560,603812.03,3.263,15.615,216.063,4859821,10.988177112001722,8,8.238,618.146279296875
redis,list,65536,1024,64,64,LINDEX,2560,927005.89,2.479,6.847,23.295,7437308,10.942069047996483,8,12.251,949.012548828125
valkey,list,65536,1024,64,64,LINDEX,2560,727980.07,3.567,6.591,26.879,5842744,10.989195435999136,8,9.649,745.26185546875
lavik,list,65536,1024,64,64,LINDEX,5120,560442.96,3.151,42.239,835.583,4519996,10.687891989997297,8,9.315,573.74703125
redis,list,65536,1024,64,64,LINDEX,5120,754197.05,6.303,19.967,60.415,6079961,10.592216603999987,8,12.481,772.100927734375
valkey,list,65536,1024,64,64,LINDEX,5120,522150.62,9.535,39.935,73.727,4208003,11.591566659997625,8,7.61,534.5456640625
lavik,list,65536,1024,64,64,LRANGE,16,45632.53,0.295,2.015,2.207,365067,8.280140339000354,8,3.349,2879.394150390625
redis,list,65536,1024,64,64,LRANGE,16,45610.54,0.255,3.231,3.535,364931,9.233440459000121,8,3.347,2878.006328125
valkey,list,65536,1024,64,64,LRANGE,16,45653.37,0.279,3.199,3.599,365232,9.230036508997728,8,3.334,2880.709228515625
lavik,list,65536,1024,64,64,LRANGE,80,45666.68,0.719,7.295,7.743,365403,9.282718214999477,8,4.131,2881.548984375
redis,list,65536,1024,64,64,LRANGE,80,45655.95,1.055,6.207,6.591,365342,9.284433040000295,8,3.867,2880.87205078125
valkey,list,65536,1024,64,64,LRANGE,80,45630.26,1.335,6.335,6.751,365115,9.281414244000189,8,3.58,2879.2508203125
lavik,list,65536,1024,64,64,LSET,80,6560.86,0.207,99.327,105.471,52884,9.280830802999844,8,0.101,6.73533203125
redis,list,65536,1024,64,64,LSET,80,435854.68,0.175,0.351,0.447,3488298,9.28418720099944,8,6.442,447.44869140625
valkey,list,65536,1024,64,64,LSET,80,517504.2,0.143,0.319,0.551,4140680,9.284044025000185,8,7.398,531.270185546875
